"species","birdID","date","longitude","latitude"
"Black-bellied plover","8",42923,-150.6684,70.4188
"Black-bellied plover","8",42935,-150.6557,70.4207
"Black-bellied plover","8",42943,-150.7301,70.5026
"Black-bellied plover","8",42944,-150.7162,70.497
"Black-bellied plover","8",42944,-150.7762,70.4846
"Black-bellied plover","8",42951,-121.652,62.7635
"Black-bellied plover","8",42951,-122.104,62.4015
"Black-bellied plover","8",42951,-120.8369,60.6186
"Black-bellied plover","8",42955,-108.4596,51.4814
"Black-bellied plover","8",42958,-108.4562,51.4476
"Black-bellied plover","8",42962,-108.442,51.3902
"Black-bellied plover","8",42964,-93.4952,35.15
"Black-bellied plover","8",42964,-92.1599,31.944
"Black-bellied plover","8",42966,-91.366,29.4345
"Black-bellied plover","8",42966,-91.3618,29.4127
"Black-bellied plover","8",42967,-91.3711,29.4304
"Black-bellied plover","8",42969,-91.4143,29.3699
"Black-bellied plover","8",42989,-91.3652,29.3332
"Black-bellied plover","8",42991,-91.3965,29.3587
"Black-bellied plover","8",42996,-91.4007,29.3716
"Black-bellied plover","8",43058,-91.2677,29.4237
"Black-bellied plover","8",43068,-91.4434,29.3716
"Black-bellied plover","8",43070,-91.4186,29.3611
"Black-bellied plover","8",43072,-91.4813,29.346
"Black-bellied plover","8",43075,-91.4248,29.3658
"Black-crowned night heron","Smith",42553,-77.0536,38.9313
"Black-crowned night heron","Smith",42568,-76.559,38.781
"Black-crowned night heron","Smith",42568,-76.556,38.781
"Black-crowned night heron","Smith",42568,-76.561,38.779
"Black-crowned night heron","Smith",42570,-76.092,39.535
"Black-crowned night heron","Smith",42581,-76.092,39.495
"Black-crowned night heron","Smith",42620,-75.384,39.225
"Black-crowned night heron","Smith",42641,-75.667,37.637
"Black-crowned night heron","Smith",42671,-80.999,26.366
"Black-crowned night heron","Smith",42678,-81.027,26.347
"Black-crowned night heron","Smith",42687,-81.033,26.352
"Black-crowned night heron","Smith",42768,-80.633,26.147
"Black-crowned night heron","Smith",42773,-80.628,26.157
"Black-crowned night heron","Smith",42823,-80.548,26.154
"Black-crowned night heron","Smith",42826,-76.797,37.169
"Black-crowned night heron","Smith",42870,-77.153,38.94
"Black-crowned night heron","Smith",42916,-77.125,38.886
"Black-crowned night heron","Smith",42916,-77.134,38.933
"Black-crowned night heron","Smith",42953,-77.051,38.93
"Black-crowned night heron","Smith",42968,-75.426,39.226
"Black-crowned night heron","Smith",43051,-81.016,26.356
"Black-crowned night heron","Smith",43066,-81.001,26.359
"Black-crowned night heron","Smith",43071,-81.002,26.361
"Brown pelican","Grindylow",42935,-76.0889,38.1507
"Brown pelican","Grindylow",42936,-76.0647,38.1422
"Brown pelican","Grindylow",42941,-76.3738,38.3282
"Brown pelican","Grindylow",42943,-76.239,38.3344
"Brown pelican","Grindylow",42947,-76.4254,38.2647
"Brown pelican","Grindylow",42950,-76.2939,38.4173
"Brown pelican","Grindylow",42951,-76.1478,38.2617
"Brown pelican","Grindylow",42952,-75.9856,38.1802
"Brown pelican","Grindylow",42954,-76.3902,38.3086
"Brown pelican","Grindylow",42957,-76.3815,38.7652
"Brown pelican","Grindylow",42957,-76.4724,38.74
"Brown pelican","Grindylow",42957,-76.4391,38.8776
"Brown pelican","Grindylow",42958,-76.3433,38.5186
"Brown pelican","Grindylow",42963,-76.2886,38.1937
"Brown pelican","Grindylow",42976,-76.0703,38.1857
"Brown pelican","Grindylow",42986,-76.2084,38.3694
"Brown pelican","Grindylow",42986,-76.1652,38.1393
"Brown pelican","Grindylow",42989,-76.3187,38.3364
"Brown pelican","Grindylow",42991,-76.1046,38.1195
"Brown pelican","Grindylow",42993,-76.26,38.3747
"Brown pelican","Grindylow",43062,-76.0144,37.1645
"Brown pelican","Grindylow",43064,-75.7082,35.2154
"Brown pelican","Grindylow",43068,-75.805,35.1158
"Brown pelican","Grindylow",43072,-75.7608,35.2042
"Brown pelican","Grindylow",43075,-75.7218,35.2174
"Long-billed curlew","154074",42817,-97.3015,27.8877
"Long-billed curlew","154074",42819,-101.2294,37.8289
"Long-billed curlew","154074",42827,-100.9321,37.551
"Long-billed curlew","154074",42829,-101.2499,37.6998
"Long-billed curlew","154074",42893,-105.0584,46.5408
"Long-billed curlew","154074",42908,-105.2895,46.5868
"Long-billed curlew","154074",42910,-105.1211,46.5841
"Long-billed curlew","154074",42913,-105.0071,46.6648
"Long-billed curlew","154074",42916,-103.5464,39.5212
"Long-billed curlew","154074",42928,-97.3172,27.8874
"Long-billed curlew","154074",42987,-97.3436,27.8567
"Long-billed curlew","154074",43001,-97.3361,27.8726
"Long-billed curlew","154074",43003,-97.3229,27.9011
"Long-billed curlew","154074",43016,-97.315,27.8957
"Long-billed curlew","154074",43037,-97.3356,27.9788
"Long-billed curlew","154074",43063,-97.3306,27.9367
"Long-billed curlew","154074",43064,-97.3134,27.8712
"Long-billed curlew","154074",43069,-97.327,27.9034
"Long-billed curlew","154074",43075,-97.3469,27.8658
"Pacific loon","Y-K 08",42809,-112.8279,28.2451
"Pacific loon","Y-K 08",42821,-112.9023,28.5018
"Pacific loon","Y-K 08",42827,-112.881,28.4676
"Pacific loon","Y-K 08",42832,-112.6696,28.7598
"Pacific loon","Y-K 08",42837,-112.2461,27.6159
"Pacific loon","Y-K 08",42841,-112.9141,28.4816
"Pacific loon","Y-K 08",42845,-115.7674,29.8273
"Pacific loon","Y-K 08",42848,-117.1643,32.5122
"Pacific loon","Y-K 08",42850,-118.9464,33.7156
"Pacific loon","Y-K 08",42855,-119.7244,33.5042
"Pacific loon","Y-K 08",42859,-123.3063,37.9823
"Pacific loon","Y-K 08",42864,-124.317,43.6298
"Pacific loon","Y-K 08",42866,-124.1403,45.7875
"Pacific loon","Y-K 08",42868,-128.5219,51.0624
"Pacific loon","Y-K 08",42870,-136.0794,56.9884
"Pacific loon","Y-K 08",42873,-146.7151,60.2637
"Pacific loon","Y-K 08",42875,-146.9739,60.3537
"Pacific loon","Y-K 08",42877,-162.9974,59.3376
"Pacific loon","Y-K 08",42882,-165.0503,61.2056
"Pacific loon","Y-K 08",42886,-165.875,60.9636
"Pacific loon","Y-K 08",42889,-165.6242,60.9564
"Pacific loon","Y-K 08",42893,-165.0546,61.2013
"Pacific loon","Y-K 08",42904,-165.0566,61.2017
"Pacific loon","Y-K 08",42914,-165.0388,61.2136
"Pacific loon","Y-K 08",42918,-165.7651,60.9201
"Pacific loon","Y-K 08",42920,-165.039,61.1932
"Pacific loon","Y-K 08",42923,-165.0346,61.2003
"Pacific loon","Y-K 08",42925,-165.8796,60.849
"Pacific loon","Y-K 08",42943,-165.0693,61.2002
"Pacific loon","Y-K 08",42954,-165.9121,60.825
"Pacific loon","Y-K 08",42968,-165.0551,61.2054
"Pacific loon","Y-K 08",42977,-165.0916,61.2091
"Pacific loon","Y-K 08",42982,-165.0516,61.2043
"Pacific loon","Y-K 08",42984,-165.156,59.7011
"Pacific loon","Y-K 08",42986,-164.9798,58.1172
"Pacific loon","Y-K 08",42989,-165.286,57.8438
"Pacific loon","Y-K 08",42993,-165.6839,57.5426
"Pacific loon","Y-K 08",42998,-165.954,57.2405
"Pacific loon","Y-K 08",43002,-164.8143,56.8881
"Pacific loon","Y-K 08",43005,-161.8253,55.9381
"Pacific loon","Y-K 08",43007,-163.6458,54.5967
"Pacific loon","Y-K 08",43011,-165.981,54.2322
"Pacific loon","Y-K 08",43016,-165.6329,54.1952
"Pacific loon","Y-K 08",43054,-166.4594,53.5554
"Pacific loon","Y-K 08",43061,-124.4611,42.6528
"Pacific loon","Y-K 08",43063,-122.7994,37.491
"Pacific loon","Y-K 08",43070,-122.3904,37.1263
"Pacific loon","Y-K 08",43072,-121.9153,36.9394
"Swainson's hawk","SW18",35314,-121.96,41.85
"Swainson's hawk","SW18",35316,-121.06,40.251
"Swainson's hawk","SW18",35323,-120.221,36.445
"Swainson's hawk","SW18",35331,-119.144,36.061
"Swainson's hawk","SW18",35332,-119.043,35.82
"Swainson's hawk","SW18",35334,-119.169,35.382
"Swainson's hawk","SW18",35335,-115.622,33.649
"Swainson's hawk","SW18",35336,-114.623,33.571
"Swainson's hawk","SW18",35337,-114.609,33.543
"Swainson's hawk","SW18",35338,-114.03,32.64
"Swainson's hawk","SW18",35341,-109.232,27.285
"Swainson's hawk","SW18",35342,-109.054,27.251
"Swainson's hawk","SW18",35343,-108.374,25.938
"Swainson's hawk","SW18",35345,-108.588,25.884
"Swainson's hawk","SW18",35346,-108.543,25.882
"Swainson's hawk","SW18",35347,-108.582,26.009
"Swainson's hawk","SW18",35348,-108.399,26.084
"Swainson's hawk","SW18",35349,-108.333,26.073
"Swainson's hawk","SW18",35352,-107.191,24.893
"Swainson's hawk","SW18",35353,-105.646,26.49
"Swainson's hawk","SW18",35354,-99.654,21.875
"Swainson's hawk","SW18",35355,-100.339,21.95
"Swainson's hawk","SW18",35357,-96.107,16.835
"Swainson's hawk","SW18",35359,-93.198,15.49
"Swainson's hawk","SW18",35361,-87.456,13.601
"Swainson's hawk","SW18",35363,-87.144,12.667
"Swainson's hawk","SW18",35369,-81.524,8.785
"Swainson's hawk","SW18",35370,-79.654,9.025
"Swainson's hawk","SW18",35371,-76.994,8.205
"Swainson's hawk","SW18",35374,-74.183,5.214
"Swainson's hawk","SW18",35375,-74.152,1.829
"Swainson's hawk","SW18",35377,-73.886,-0.613
"Swainson's hawk","SW18",35378,-72.87,-2.784
"Swainson's hawk","SW18",35381,-70.493,-5.23
"Swainson's hawk","SW18",35382,-67.751,-7.246
"Swainson's hawk","SW18",35384,-68.917,-9.589
"Swainson's hawk","SW18",35385,-66.795,-11.717
"Swainson's hawk","SW18",35391,-63.698,-14.448
"Swainson's hawk","SW18",35403,-64.4,-35.644
"Swainson's hawk","SW18",35415,-63.984,-35.259
"Swainson's hawk","SW18",35433,-64.433,-35.081
"Swainson's hawk","SW18",35445,-64.401,-35.212
"Swainson's hawk","SW18",35475,-63.15,-31.356
"Swainson's hawk","SW18",35481,-62.919,-31.399
"Swainson's hawk","SW18",35487,-62.578,-28.07
"Swainson's hawk","SW18",35493,-65.247,-11.816
"Swainson's hawk","SW18",35499,-70.166,-5.499
"Swainson's hawk","SW18",35505,-68.548,-1.088
"Swainson's hawk","SW18",35511,-75.149,5.745
"Swainson's hawk","SW18",35517,-90.551,14.004
"Swainson's hawk","SW18",35522,-100.626,20.007
