id,short_name,long_name,player_positions,overall,value_eur,age,dob,height_cm,weight_kg,club_name,club_position,club_jersey_number,club_joined,nationality,nation_position,nation_jersey_number,preferred_foot,player_traits,pace,shooting,passing,dribbling,defending,physic,pace_acceleration,pace_sprint_speed,shooting_finishing,shooting_shot_power,shooting_long_shots,shooting_positioning,shooting_penalties,passing_crossing,passing_short_passing,passing_curve,passing_fk_accuracy,passing_long_passing,passing_vision,dribbling_dribbling,dribbling_ball_control,dribbling_agility,dribbling_reactions,dribbling_balance,dribbling_composure,defending_heading_accuracy,defending_interceptions,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,physic_aggression,physic_jumping,physic_stamina,physic_strength,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
1,S. Agüero,Sergio Leonel Agüero del Castillo,ST,87,"51,000,000 ",33,1988-06-02,173,70,FC Barcelona,ST,19,2021-07-01,Argentina,SUB,9,Right,"Injury Prone, Chip Shot (AI)",71,89,75,87,33,69,75,68,93,90,83,91,75,70,80,83,73,64,80,86,88,82,89,90,91,78,24,30,29,24,65,78,62,74,13,15,6,11,14,https://cdn.sofifa.com/players/153/079/22_120.png,https://cdn.sofifa.com/teams/241/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
2,P. Dybala,Paulo Bruno Exequiel Dybala,"CF, CAM",87,"93,000,000 ",27,1993-11-15,177,75,Juventus,CAM,10,2015-07-01,Argentina,SUB,21,Left,"Finesse Shot, Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",84,86,86,91,40,60,88,80,85,84,89,82,84,82,87,90,88,79,91,90,93,92,80,94,79,59,42,32,41,39,43,75,70,61,5,4,4,5,8,https://cdn.sofifa.com/players/211/110/22_120.png,https://cdn.sofifa.com/teams/45/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
3,A. Gómez,Alejandro Darío Gómez,"CAM, CF, CM",85,"33,500,000 ",33,1988-02-15,167,68,Sevilla FC,LCM,24,2021-01-26,Argentina,SUB,17,Right,"Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",87,78,84,87,39,55,91,83,77,79,82,80,72,83,85,85,79,80,86,85,86,93,86,93,85,38,40,50,30,34,56,70,75,44,8,11,12,9,6,https://cdn.sofifa.com/players/143/076/22_120.png,https://cdn.sofifa.com/teams/481/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
4,A. Correa,Ángel Martín Correa,"ST, RM",83,"48,000,000 ",26,1995-03-09,171,70,Atlético de Madrid,SUB,10,2014-12-13,Argentina,SUB,26,Right,"Flair, Technical Dribbler (AI)",85,83,78,88,49,74,86,85,85,83,86,84,55,75,82,82,65,66,84,88,87,90,84,87,76,69,48,42,53,44,79,49,82,71,13,10,9,8,16,https://cdn.sofifa.com/players/214/997/22_120.png,https://cdn.sofifa.com/teams/240/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
5,N. Tagliafico,Nicolás Alejandro Tagliafico,LB,82,"27,500,000 ",28,1992-08-31,172,65,Ajax,SUB,31,2018-01-05,Argentina,SUB,3,Left,"Solid Player, Dives Into Tackles (AI), Power Header, Team Player",80,55,73,75,81,81,79,81,55,65,46,69,46,76,77,66,40,75,69,73,77,77,81,81,77,82,80,81,80,80,84,90,89,75,13,9,10,15,16,https://cdn.sofifa.com/players/211/256/22_120.png,https://cdn.sofifa.com/teams/245/60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
6,J. Musso,Juan Agustín Musso,GK,81,"  23,500,000 ",27,1994-05-06,191,93,Atalanta,GK,1,2021-07-02,Argentina,SUB,12,Right,"Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",78,76,62,58,66,70,46,42,18,55,14,19,25,20,31,16,12,24,48,16,20,32,71,39,67,15,18,12,14,16,27,51,35,70,82,78,73,82,86,https://cdn.sofifa.com/players/214/979/22_120.png,https://cdn.sofifa.com/teams/39/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
7,F. Armani,Franco Armani,GK,80,"  3,600,000 ",34,1986-10-16,189,88,River Plate,GK,1,2018-01-12,Argentina,SUB,1,Right,"Leadership, Cautious With Crosses",76,46,82,87,38,69,41,45,11,50,17,17,20,18,35,15,16,29,55,19,35,37,77,39,55,19,21,15,13,19,45,67,35,81,78,76,67,79,85,https://cdn.sofifa.com/players/214/584/22_120.png,https://cdn.sofifa.com/teams/1876/60.png,https://cdn.sofifa.com/flags/ar.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
8,L. Martínez,Lisandro Martínez,"CB, LB, CDM",79,"  25,000,000 ",23,1998-01-18,178,77,Ajax,LCB,21,2019-07-01,Argentina,SUB,25,Left,Solid Player,71,58,73,75,79,80,74,68,52,68,63,62,55,70,77,63,53,79,73,74,78,72,77,79,81,74,79,81,81,76,84,88,83,76,6,14,13,14,8,https://cdn.sofifa.com/players/239/301/22_120.png,https://cdn.sofifa.com/teams/245/60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
9,G. Rodríguez,Guido Rodríguez,"CDM, CM",78,"  15,000,000 ",26,1995-04-11,185,80,Real Betis Balompié,RDM,21,2020-01-14,Argentina,SUB,18,Right,"Dives Into Tackles (AI), Long Shot Taker (AI), Outside Foot Shot",54,56,66,65,80,77,53,55,43,77,69,56,53,59,75,49,42,72,65,63,75,49,75,50,70,73,82,82,81,77,83,42,77,79,12,11,14,16,6,https://cdn.sofifa.com/players/225/659/22_120.png,https://cdn.sofifa.com/teams/449/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
10,E. Palacios,Exequiel Alejandro Palacios,"CM, CDM, CAM",77,"  17,000,000 ",22,1998-10-05,177,67,Bayer 04 Leverkusen,SUB,25,2020-01-01,Argentina,SUB,14,Right,"Dives Into Tackles (AI), Long Passer (AI), Long Shot Taker (AI)",55,73,74,77,72,71,74,39,70,81,76,67,63,67,80,68,47,78,78,76,80,78,69,79,78,59,72,73,76,74,78,70,83,63,10,5,8,9,6,https://cdn.sofifa.com/players/231/521/22_120.png,https://cdn.sofifa.com/teams/32/60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
11,J. Foyth,Juan Marcos Foyth,"CB, RB, CDM",75,"  11,500,000 ",23,1998-01-12,187,69,Villarreal CF,SUB,8,2021-07-01,Argentina,SUB,28,Right,Dives Into Tackles (AI),66,45,67,72,76,73,66,66,43,56,39,50,47,69,74,61,47,66,62,71,76,70,73,67,65,73,74,77,78,75,73,74,72,74,8,15,7,14,9,https://cdn.sofifa.com/players/237/221/22_120.png,https://cdn.sofifa.com/teams/483/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
12,J. Correa,Carlos Joaquín Correa,"CF, ST, CAM",81,"  31,000,000 ",26,1994-08-13,189,75,Inter,SUB,19,2018-07-19,Argentina,SUB,16,Right,"Finesse Shot, Flair, Technical Dribbler (AI)",84,75,77,85,39,69,81,87,77,79,71,79,57,74,81,81,63,74,78,88,86,83,80,67,73,68,36,39,37,26,48,63,76,74,11,10,7,8,8,https://cdn.sofifa.com/players/215/330/22_120.png,https://cdn.sofifa.com/teams/44/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
13,L. Martínez,Lautaro Javier Martínez,ST,85,"  78,000,000 ",23,1997-08-22,174,72,Inter,LS,10,2018-07-05,Argentina,ST,22,Right,"Flair, Power Header, Technical Dribbler (AI)",84,81,72,85,48,84,86,83,85,80,74,86,74,56,78,78,43,73,81,83,85,86,89,89,83,87,45,55,31,44,86,88,80,84,11,8,8,8,13,https://cdn.sofifa.com/players/231/478/22_120.png,https://cdn.sofifa.com/teams/44/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
14,L. Messi,Lionel Andrés Messi Cuccittini,"RW, ST, CF",93,"  78,000,000 ",34,1987-06-24,170,72,Paris Saint-Germain,RW,30,2021-08-10,Argentina,RW,10,Left,"Finesse Shot, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, One Club Player, Chip Shot (AI), Technical Dribbler (AI)",85,92,91,95,34,65,91,80,95,86,94,93,75,85,91,93,94,91,95,96,96,91,94,95,96,70,40,20,35,24,44,68,72,69,6,11,15,14,8,https://cdn.sofifa.com/players/158/023/22_120.png,https://cdn.sofifa.com/teams/73/60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
15,R. De Paul,Rodrigo Javier De Paul,"CM, CF",82,"  35,000,000 ",27,1994-05-24,180,70,Atlético de Madrid,SUB,5,2021-07-12,Argentina,RCM,7,Right,"Finesse Shot, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",78,76,80,82,71,79,81,76,76,80,78,78,65,69,85,84,73,81,80,81,85,78,81,79,80,50,74,68,79,69,69,67,86,81,13,12,10,7,14,https://cdn.sofifa.com/players/212/616/22_120.png,https://cdn.sofifa.com/teams/240/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
16,C. Romero,Cristian Gabriel Romero,CB,82,"  41,500,000 ",23,1998-04-27,185,79,Tottenham Hotspur,SUB,4,2019-01-01,Argentina,RCB,13,Right,Dives Into Tackles (AI),76,46,52,60,83,84,80,73,48,51,37,39,40,39,69,43,38,49,43,50,68,72,81,68,78,83,80,83,84,83,89,86,83,82,5,7,11,10,14,https://cdn.sofifa.com/players/232/488/22_120.png,https://cdn.sofifa.com/teams/18/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
17,G. Montiel,Gonzalo Ariel Montiel,"RB, RWB",78,"  21,000,000 ",24,1997-01-01,175,70,Sevilla FC,SUB,2,2021-08-13,Argentina,RB,4,Right,"Long Throw-in, Dives Into Tackles (AI)",86,53,70,74,73,81,87,85,41,65,59,77,75,72,76,59,39,66,70,71,75,82,75,71,75,71,73,73,73,73,87,80,93,73,6,10,11,5,6,https://cdn.sofifa.com/players/231/340/22_120.png,https://cdn.sofifa.com/teams/481/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
18,A. Di María,Ángel Fabián Di María Hernández,"RW, LW",87,"  49,500,000 ",33,1988-02-14,180,69,Paris Saint-Germain,SUB,11,2015-08-06,Argentina,LW,11,Left,"Flair, Long Shot Taker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",83,81,86,88,48,69,83,83,79,83,86,84,73,88,84,91,88,82,88,88,87,94,84,76,86,51,42,41,55,52,73,73,78,62,10,7,11,12,11,https://cdn.sofifa.com/players/183/898/22_120.png,https://cdn.sofifa.com/teams/73/60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
